iter	RMSE
0	8.211767605
1	7.70857799
2	7.234831189
3	6.799474238
4	6.388394546
5	6.015175859
6	5.640378505
7	5.311821944
8	5.005775027
9	4.702711448
10	4.432201007
11	4.18657622
12	3.941989325
13	3.708099918
14	3.490422043
15	3.291237882
16	3.106118633
17	2.936959703
18	2.774498363
19	2.627010663
20	2.489113024
21	2.361538134
22	2.24296718
23	2.127143663
24	2.022071234
25	1.924015896
26	1.828532108
27	1.738053762
28	1.655538573
29	1.574655105
30	1.505006459
31	1.434676931
32	1.372889063
33	1.315735579
34	1.259459248
35	1.207175257
36	1.15904814
37	1.115800134
38	1.074635814
39	1.037533365
40	1.003051687
41	0.9724177635
42	0.9413084406
43	0.9145417933
44	0.8883790593
45	0.8673187529
46	0.8437684458
47	0.823102613
48	0.8042037371
49	0.7872691925
50	0.771074274
51	0.7568458704
52	0.742306512
53	0.7276156362
54	0.7132200558
55	0.7006730527
56	0.6887379943
57	0.6781919172
58	0.6681094795
59	0.6585041862
60	0.6488422396
61	0.640319525
62	0.6330308002
63	0.6266998619
64	0.6175518437
65	0.6097919996
66	0.6031129928
67	0.5968186314
68	0.5895407647
69	0.5837918098
70	0.5772472953
71	0.5730483509
72	0.5686162461
73	0.5634050391
74	0.5569036814
75	0.5529572075
76	0.5472870637
77	0.5417560461
78	0.5363244686
79	0.5329754414
80	0.5304557756
81	0.5236279621
82	0.5201623443
83	0.5157593732
84	0.5114953211
85	0.5079872779
86	0.5055684218
87	0.5006581362
88	0.496876055
89	0.4936363767
90	0.4907406633
91	0.4874689685
92	0.4855316361
93	0.4826442618
94	0.4805399706
95	0.4781292589
96	0.4757580047
97	0.473442855
98	0.4688210358
99	0.4668531826
100	0.4638922966
101	0.4615163487
102	0.4586973926
103	0.4553967655
104	0.4512025634
105	0.4467980796
106	0.4447923141
107	0.4429730306
108	0.4400879757
109	0.4362010969
110	0.4341285628
111	0.4307972771
112	0.4285662798
113	0.4272043516
114	0.4242209234
115	0.4225346377
116	0.4206335477
117	0.4181509075
118	0.4162074484
119	0.4139408393
120	0.412493079
121	0.4109515112
122	0.4097397052
123	0.4082197293
124	0.4061886284
125	0.4050226634
126	0.4023454441
127	0.3988991607
128	0.3971373111
129	0.3945462127
130	0.3920527631
131	0.3897686813
132	0.3871114899
133	0.384479171
134	0.3827244591
135	0.3818569202
136	0.3801038628
137	0.3781966441
138	0.3764939889
139	0.3752883088
140	0.3733699279
141	0.3720634501
142	0.3701060498
143	0.3683837536
144	0.3663731904
145	0.364864258
146	0.3636495721
147	0.3623637709
148	0.3622727082
149	0.3603832152
150	0.3593619009
151	0.3592332635
152	0.3574059924
153	0.3563853397
154	0.3545149377
155	0.3531070884
156	0.3516815103
157	0.3506412052
158	0.3499795735
159	0.3497648787
160	0.3489414809
161	0.3475723547
162	0.3460339438
163	0.3442895913
164	0.3419631015
165	0.340433642
166	0.3393655865
167	0.3377852487
168	0.3377254861
169	0.3363262959
170	0.3351980244
171	0.3332547966
172	0.3323991758
173	0.3303092042
174	0.3302230293
175	0.3283978731
176	0.3278148959
177	0.3265710922
178	0.3258154887
179	0.3254637841
180	0.3244334624
181	0.3232170521
182	0.3231625451
183	0.3219177596
184	0.321865268
185	0.3207662254
186	0.3192115464
187	0.3179474303
