iter	Passed	Remaining
0	64	64045
1	68	33982
2	71	23864
3	75	18754
4	78	15677
5	82	13615
6	85	12133
7	89	11041
8	92	10139
9	95	9455
10	98	8874
11	102	8418
12	105	8025
13	109	7681
14	112	7380
15	115	7116
16	119	6884
17	122	6666
18	125	6481
19	128	6320
20	132	6171
21	135	6034
22	139	5905
23	142	5785
24	145	5668
25	148	5562
26	151	5470
27	155	5399
28	158	5318
29	162	5241
30	165	5160
31	168	5085
32	171	5022
33	174	4962
34	177	4895
35	180	4842
36	183	4788
37	187	4741
38	190	4694
39	194	4656
40	197	4609
41	200	4567
42	203	4525
43	206	4487
44	209	4448
45	213	4418
46	216	4386
47	219	4357
48	223	4328
49	226	4306
50	230	4280
51	233	4256
52	237	4236
53	240	4212
54	243	4185
55	246	4157
56	250	4137
57	253	4119
58	256	4096
59	259	4072
60	263	4051
61	266	4027
62	269	4007
63	272	3989
64	276	3971
65	279	3951
66	282	3932
67	285	3915
68	289	3899
69	292	3882
70	295	3866
71	298	3851
72	302	3835
73	305	3822
74	308	3803
75	311	3789
76	315	3777
77	318	3763
78	321	3748
79	324	3737
80	328	3723
81	331	3710
82	334	3697
83	338	3686
84	341	3674
85	344	3659
86	347	3646
87	350	3636
88	354	3626
89	357	3614
90	360	3602
91	363	3590
92	367	3580
93	370	3572
94	373	3559
95	376	3548
96	379	3536
97	383	3527
98	387	3527
99	391	3521
100	394	3512
101	397	3500
102	400	3490
103	403	3478
104	407	3469
105	410	3460
106	413	3449
107	416	3440
108	420	3434
109	423	3426
110	426	3417
111	430	3409
112	433	3403
113	436	3394
114	440	3386
115	443	3379
116	447	3374
117	450	3368
118	454	3361
119	457	3354
120	460	3345
121	464	3340
122	467	3330
123	470	3321
124	473	3312
125	476	3303
126	479	3295
127	482	3288
128	485	3280
129	489	3275
130	492	3267
131	495	3261
132	499	3254
133	502	3248
134	505	3241
135	508	3233
136	512	3226
137	515	3220
138	518	3213
139	522	3209
140	525	3203
141	529	3197
142	533	3196
143	537	3195
144	541	3193
145	545	3192
146	549	3188
147	552	3183
148	556	3175
149	559	3168
150	562	3163
151	567	3167
152	572	3171
153	577	3172
154	580	3166
155	584	3161
156	587	3154
157	590	3149
158	594	3142
159	596	3134
160	600	3129
161	604	3124
162	607	3120
163	610	3113
164	614	3107
165	617	3104
166	621	3098
167	624	3092
168	627	3084
169	630	3077
170	633	3073
171	637	3070
172	641	3065
173	644	3059
174	647	3051
175	651	3048
176	654	3042
177	657	3036
178	661	3032
179	663	3024
180	667	3019
181	671	3016
182	674	3010
183	677	3005
184	681	3000
185	684	2995
186	687	2990
187	691	2985
188	694	2980
189	698	2976
190	700	2968
191	704	2963
192	707	2957
193	710	2952
194	713	2946
195	717	2942
196	720	2937
197	723	2930
198	726	2923
199	729	2919
200	733	2914
201	736	2908
202	739	2903
203	742	2897
204	745	2891
205	748	2886
206	752	2881
207	754	2874
208	758	2869
209	761	2864
210	764	2859
211	768	2856
212	771	2850
213	774	2845
214	778	2841
215	781	2836
216	784	2830
217	787	2823
218	790	2819
219	793	2813
220	796	2808
221	800	2804
222	803	2799
223	806	2793
224	809	2788
225	812	2784
226	816	2779
227	819	2775
228	822	2770
229	825	2765
230	829	2760
231	832	2754
232	834	2748
233	837	2743
234	841	2738
235	844	2734
236	847	2729
237	851	2725
238	854	2719
239	856	2713
240	860	2708
241	863	2705
242	866	2700
243	870	2695
244	873	2690
245	875	2684
246	878	2679
247	882	2674
248	885	2670
249	888	2665
250	891	2660
251	894	2656
252	898	2652
253	901	2646
254	904	2642
255	907	2638
256	910	2633
257	914	2629
258	917	2626
259	920	2621
260	924	2616
261	926	2611
262	930	2607
263	933	2602
264	936	2596
265	939	2591
266	942	2586
267	945	2583
268	948	2578
269	951	2573
270	954	2568
271	958	2564
272	961	2560
273	964	2555
274	967	2550
275	970	2545
276	973	2541
277	976	2537
278	980	2532
279	983	2528
280	986	2523
281	989	2519
282	992	2515
283	996	2511
284	999	2506
285	1002	2502
286	1005	2496
287	1008	2492
288	1012	2489
289	1015	2486
290	1019	2483
291	1022	2479
292	1026	2476
293	1031	2476
294	1035	2473
295	1038	2470
296	1083	2565
297	1099	2590
298	1105	2591
299	1111	2594
300	1117	2594
301	1122	2593
302	1128	2596
303	1135	2600
304	1141	2602
305	1145	2598
306	1148	2593
307	1152	2588
308	1155	2583
309	1158	2577
310	1161	2573
311	1165	2571
312	1169	2567
313	1173	2564
314	1177	2560
315	1181	2556
316	1184	2551
317	1186	2545
318	1189	2540
319	1193	2535
320	1195	2529
321	1198	2523
322	1201	2519
323	1204	2513
324	1207	2507
325	1210	2502
326	1213	2496
327	1216	2492
328	1219	2487
329	1223	2483
